Cliente;Entidad;Destino;Cuenta;Fecha;Artículo;Descripción;Inicio;Cantidad;Nueva;Costo;Anterior2;Cantidad3;Nueva4;Usuario;Cantidad Final;Precio;Mes ;Año
Casa Díaz;10219;Ferreteria del Norte;50002001;11/07/2017;450821758;GRAMPA P/CORREA N.15;41;-1;40; 64,17 ; 2.630,97 ;-64,17 ; 2.566,80 ;INTFZ;1; 74,44 ;julio;2017
Casa Díaz;10219;Ferreteria del Norte;50002001;06/07/2017;422501878;CADENA P/PERRO N.18 LARGO 1.40 MT;0;1;1; 215,28 ; -   ; 215,28 ; 215,28 ;INTFZ;-1; 249,72 ;julio;2017
Casa Díaz;10219;Ferreteria del Norte;50002009;15/07/2017;424580004;HILO ALGODON CRUDO 10 x  40 GR;6;3;9; 13,99 ; 83,94 ; 41,97 ; 125,91 ;INTFZ;-3; 48,69 ;julio;2017
Casa Díaz;10219;Ferreteria del Norte;50002009;18/07/2017;424580004;HILO ALGODON CRUDO 10 x  40 GR;54;-2;52; 13,99 ; 755,46 ;-27,98 ; 727,48 ;INTFZ;2; 32,46 ;julio;2017
Casa Díaz;10219;Ferreteria del Norte;50002009;31/07/2017;424580004;HILO ALGODON CRUDO 10 x  40 GR;2;-2;0; 13,99 ; 27,98 ;-27,98 ; -   ;INTFZ;2; 32,46 ;julio;2017
Casa Díaz;10219;Ferreteria del Norte;50002001;11/07/2017;424583418;GANCHO P/CAÃ‘O ESTRUCT 40 x 100;61;-5;56; 36,74 ; 2.241,14 ;-183,70 ; 2.057,44 ;INTFZ;5; 213,09 ;julio;2017
Casa Díaz;10219;Ferreteria del Norte;50002003;11/07/2017;424582558;GANCHO P/CAÃ‘O ESTRUCT 30 x 120;21;-2;19; 88,91 ; 1.867,11 ;-177,82 ; 1.689,29 ;INTFZ;2; 206,27 ;julio;2017
Casa Díaz;10219;Ferreteria del Norte;50002006;10/07/2017;424587996;MECHA EZETA DE CENTRAR 1.25 MM;22;-1;21; 137,30 ; 3.020,60 ;-137,30 ; 2.883,30 ;INTFZ;1; 159,27 ;julio;2017
Casa Díaz;10219;Ferreteria del Norte;50002001;11/07/2017;424583416;GANCHO P/CAÃ‘O ESTRUCT 35 x  90;259;-5;254; 74,52 ; 19.300,68 ;-372,60 ; 18.928,08 ;INTFZ;5; 432,22 ;julio;2017
Casa Díaz;10219;Ferreteria del Norte;50002001;11/07/2017;424582140;GANCHO P/CAÃ‘O ESTRUCT 40 x 150;119;-2;117; 5,12 ; 609,28 ;-10,24 ; 599,04 ;INTFZ;2; 11,88 ;julio;2017
Casa Díaz;10219;Ferreteria del Norte;50002001;11/07/2017;424582146;HILO DE POLIP P/ARROLLADORA;374;-6;368; 5,28 ; 1.974,72 ;-31,68 ; 1.943,04 ;INTFZ;6; 36,75 ;julio;2017
Casa Díaz;10219;Ferreteria del Norte;50002009;10/07/2017;424582141;MECHA EZETA WIDIA BOSCH  8 x 160 MM;358;-1;357; 43,26 ; 15.487,08 ;-43,26 ; 15.443,82 ;INTFZ;1; 50,18 ;julio;2017
Casa Díaz;10219;Ferreteria del Norte;50002009;11/07/2017;424582141;MECHA EZETA WIDIA BOSCH  8 x 160 MM;355;-2;353; 43,26 ; 15.357,30 ;-86,52 ; 15.270,78 ;INTFZ;2; 100,36 ;julio;2017
Casa Díaz;10219;Ferreteria del Norte;10219;11/07/2017;424580251;MENSULA DOBLE NEGRA  470 MM;273;-20;253; 12,03 ; 3.284,19 ;-240,60 ; 3.043,59 ;INTFZ;20; 279,10 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;12/07/2017;424595752;PICO GHERARDI PTA-PALA  75 MM;35150;-450;34700; 1,97 ; 69.245,50 ;-886,50 ; 68.359,00 ;INTFZ;450; 1.028,34 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;15/07/2017;424595752;PICO GHERARDI PTA-PALA  75 MM;31450;-300;31150; 1,97 ; 61.956,50 ;-591,00 ; 61.365,50 ;INTFZ;300; 685,56 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;11/07/2017;424593611;REGATON REGULABLE 3/8  BASE CHICA;29;-2;27; 1.228,51 ; 35.626,79 ;-2.457,02 ; 33.169,77 ;fre3919;2; 2.850,14 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;26/07/2017;424595752;PICO GHERARDI PTA-PALA  75 MM;23150;-150;23000; 1,97 ; 45.605,50 ;-295,50 ; 45.310,00 ;INTFZ;150; 342,78 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;10219;11/07/2017;500000642;MACHO URANGA A/ALEADO M 10 x 1.25;24;-24;0; 7,14 ; 171,36 ;-171,36 ; -   ;INTFZ;24; 198,78 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;28/07/2017;424595752;PICO GHERARDI PTA-PALA  75 MM;20749;-400;20349; 1,97 ; 40.875,53 ;-788,00 ; 40.087,53 ;agg3513;400; 914,08 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;28/07/2017;424595752;PICO GHERARDI PTA-PALA  75 MM;20299;-200;20099; 1,97 ; 39.989,03 ;-394,00 ; 39.595,03 ;INTFZ;200; 457,04 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002001;15/07/2017;450821758;GRAMPA P/CORREA N.15;2;-2;0; 64,17 ; 128,34 ;-128,34 ; -   ;icl7115;2; 148,87 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;10219;11/07/2017;500000643;MACHO URANGA A/ALEADO M 12 x 1.00;24;-24;0; 7,14 ; 171,36 ;-171,36 ; -   ;INTFZ;24; 198,78 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002001;22/07/2017;450821758;GRAMPA P/CORREA N.15;2;-2;0; 64,17 ; 128,34 ;-128,34 ; -   ;icl7115;2; 148,87 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002001;08/07/2017;424588529;TENDEDERO EXTENS 9 V  45 CM;936;-24;912; 1,66 ; 1.553,76 ;-39,84 ; 1.513,92 ;agg3513;24; 46,21 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002001;11/07/2017;424588529;TENDEDERO EXTENS 9 V  45 CM;888;-48;840; 1,66 ; 1.474,08 ;-79,68 ; 1.394,40 ;INTFZ;48; 92,43 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002001;20/07/2017;424588529;TENDEDERO EXTENS 9 V  45 CM;672;-24;648; 1,66 ; 1.115,52 ;-39,84 ; 1.075,68 ;fre3919;24; 46,21 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002001;06/07/2017;422501878;CADENA P/PERRO N.18 LARGO 1.40 MT;1;-1;0; 215,28 ; 215,28 ;-215,28 ; -   ;ICL7115;1; 249,72 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;10219;11/07/2017;500000961;MECHA MAX PLANA P/MAD    5/8;24;-24;0; 5,51 ; 132,24 ;-132,24 ; -   ;INTFZ;24; 153,40 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002001;15/07/2017;422501878;CADENA P/PERRO N.18 LARGO 1.40 MT;1;-1;0; 215,28 ; 215,28 ;-215,28 ; -   ;icl7115;1; 249,72 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;20/07/2017;424590525;MECHA EZETA WIDIA LARGA 200 10 MM;4;-1;3; 2.908,89 ; 11.635,56 ;-2.908,89 ; 8.726,67 ;fre3919;1; 3.374,31 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002009;22/07/2017;424582122;TELA M/SOMBRA  50 MT AZUL -BLAN 80%;1;-1;0; 17,60 ; 17,60 ;-17,60 ; -   ;icl7115;1; 20,42 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;26/07/2017;424592811;CADENA P/PERRO N.13 LARGO 1.40 MT;378;-4;374; 51,75 ; 19.561,50 ;-207,00 ; 19.354,50 ;agg3513;4; 240,12 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002009;11/07/2017;424580004;HILO ALGODON CRUDO 10 x  40 GR;3;-3;0; 13,99 ; 41,97 ;-41,97 ; -   ;fre3919;3; 48,69 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;05/07/2017;424590530;MECHA EZETA WIDIA LARGA 400 22 MM;6;-1;5; 3.130,55 ; 18.783,30 ;-3.130,55 ; 15.652,75 ;FRE3919;1; 3.631,44 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;05/07/2017;424573107;MECHA EZETA WIDIA LARGA 400 10 MM;167;-10;157; 105,49 ; 17.616,83 ;-1.054,90 ; 16.561,93 ;FRE3919;10; 1.223,68 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;15/07/2017;424573107;MECHA EZETA WIDIA LARGA 400 10 MM;201;-5;196; 105,49 ; 21.203,49 ;-527,45 ; 20.676,04 ;agg3513;5; 611,84 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;20/07/2017;424573107;MECHA EZETA WIDIA LARGA 400 10 MM;181;-5;176; 105,49 ; 19.093,69 ;-527,45 ; 18.566,24 ;fre3919;5; 611,84 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;26/07/2017;424573107;MECHA EZETA WIDIA LARGA 400 10 MM;142;-3;139; 105,49 ; 14.979,58 ;-316,47 ; 14.663,11 ;agg3513;3; 367,11 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002003;15/07/2017;424586192;CADENA P/PERRO N. 9 LARGO 2.20 MT;1;-1;0; 147,77 ; 147,77 ;-147,77 ; -   ;icl7115;1; 171,41 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;20/07/2017;424590541;MECHA EZETA WIDIA LARGA 400 16 MM;1;-1;0; 6.708,21 ; 6.708,21 ;-6.708,21 ; -   ;fre3919;1; 7.781,52 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002006;05/07/2017;422001482;CADENA P/PERRO N. 8 LARGO 2.20 MT;122;-1;121; 45,54 ; 5.555,88 ;-45,54 ; 5.510,34 ;FRE3919;1; 52,83 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002006;15/07/2017;422001482;CADENA P/PERRO N. 8 LARGO 2.20 MT;113;-2;111; 45,54 ; 5.146,02 ;-91,08 ; 5.054,94 ;agg3513;2; 105,65 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002006;26/07/2017;422001482;CADENA P/PERRO N. 8 LARGO 2.20 MT;104;-2;102; 45,54 ; 4.736,16 ;-91,08 ; 4.645,08 ;agg3513;2; 105,65 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002011;05/07/2017;424573105;MECHA NEIKE WIDIA LARGA 400 12 MM;57;-5;52; 82,80 ; 4.719,60 ;-414,00 ; 4.305,60 ;FRE3919;5; 480,24 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002011;15/07/2017;424573105;MECHA NEIKE WIDIA LARGA 400 12 MM;47;-3;44; 82,80 ; 3.891,60 ;-248,40 ; 3.643,20 ;agg3513;3; 288,14 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002011;26/07/2017;424573105;MECHA NEIKE WIDIA LARGA 400 12 MM;42;-2;40; 82,80 ; 3.477,60 ;-165,60 ; 3.312,00 ;agg3513;2; 192,10 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;05/07/2017;424570095;HILO CHORICERO 10 x 100 GR;64;-2;62; 621,00 ; 39.744,00 ;-1.242,00 ; 38.502,00 ;FRE3919;2; 1.440,72 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;15/07/2017;424570095;HILO CHORICERO 10 x 100 GR;44;-2;42; 621,00 ; 27.324,00 ;-1.242,00 ; 26.082,00 ;agg3513;2; 1.440,72 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;28/07/2017;424570095;HILO CHORICERO 10 x 100 GR;33;-3;30; 621,00 ; 20.493,00 ;-1.863,00 ; 18.630,00 ;agg3513;3; 2.161,08 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002011;15/07/2017;424590182;PINZA CORTA CERAMICO C/LAPIZ WIDIA;50;-3;47; 82,80 ; 4.140,00 ;-248,40 ; 3.891,60 ;agg3513;3; 288,14 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002011;26/07/2017;424590182;PINZA CORTA CERAMICO C/LAPIZ WIDIA;44;-2;42; 82,80 ; 3.643,20 ;-165,60 ; 3.477,60 ;agg3513;2; 192,10 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;05/07/2017;424560248;ARCO SIERRA CARNICERO RTO-HOJA 620;360;-60;300; 8,97 ; 3.229,20 ;-538,20 ; 2.691,00 ;FRE3919;60; 624,31 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;15/07/2017;424560248;ARCO SIERRA CARNICERO RTO-HOJA 620;150;-30;120; 8,97 ; 1.345,50 ;-269,10 ; 1.076,40 ;agg3513;30; 312,16 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;05/07/2017;424592740;CADENA P/PERRO N.13 LARGO 1.70 MT;309;-1;308; 51,75 ; 15.990,75 ;-51,75 ; 15.939,00 ;FRE3919;1; 60,03 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002001;22/07/2017;424582124;BALDE PLAST PICO VERT 10 LT BLANCO;1;-1;0; 15,32 ; 15,32 ;-15,32 ; -   ;icl7115;1; 17,77 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002001;22/07/2017;424582123;GANCHO P/CAÃ‘O ESTRUCT 25 x  80;1;-1;0; 15,32 ; 15,32 ;-15,32 ; -   ;icl7115;1; 17,77 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002001;05/07/2017;424572201;MECHA EZETA DOBLE PUNTA 6.10 MM;36;-2;34; 884,57 ; 31.844,52 ;-1.769,14 ; 30.075,38 ;FRE3919;2; 2.052,20 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002002;11/07/2017;424588814;CORTINA P/BAÃ‘O COMPLETA AMARILLA;95;-3;92; 24,34 ; 2.312,30 ;-73,02 ; 2.239,28 ;fre3919;3; 84,70 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;51303079;20/07/2017;424504541;MACHO URANGA A/ALEADO M 22 x 1.50;3;-3;0; 9,68 ; 29,04 ;-29,04 ; -   ;fre3919;3; 33,69 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;05/07/2017;424572202;MECHA EZETA DE CENTRAR 2.00 MM;18;-1;17; 639,60 ; 11.512,80 ;-639,60 ; 10.873,20 ;FRE3919;1; 741,94 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;20/07/2017;424572202;MECHA EZETA DE CENTRAR 2.00 MM;9;-1;8; 639,60 ; 5.756,40 ;-639,60 ; 5.116,80 ;fre3919;1; 741,94 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;26/07/2017;424572357;MECHA EZETA DE CENTRAR 1.00 MM;4;-3;1; 1.082,70 ; 4.330,80 ;-3.248,10 ; 1.082,70 ;agg3513;3; 3.767,80 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002009;15/07/2017;424590005;CADENA P/PERRO N.18 LARGO 2.20 MT;1;-1;0; 332,69 ; 332,69 ;-332,69 ; -   ;icl7115;1; 385,92 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002006;20/07/2017;424587996;MECHA EZETA DE CENTRAR 1.25 MM;1;-1;0; 137,30 ; 137,30 ;-137,30 ; -   ;fre3919;1; 159,27 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;05/07/2017;424580082;MECHA EZETA DE CENTRAR 3.15 MM;1;-1;0; 116,28 ; 116,28 ;-116,28 ; -   ;FRE3919;1; 134,88 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;20/07/2017;424580082;MECHA EZETA DE CENTRAR 3.15 MM;3;-3;0; 116,28 ; 348,84 ;-348,84 ; -   ;fre3919;3; 404,65 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;26/07/2017;424570573;CADENA ENGANCHE N. 6 HO BRONCEADO;291;-2;289; 39,75 ; 11.567,25 ;-79,50 ; 11.487,75 ;agg3513;2; 92,22 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002001;06/07/2017;424583416;GANCHO P/CAÃ‘O ESTRUCT 35 x  90;6;-6;0; 74,52 ; 447,12 ;-447,12 ; -   ;ICL7115;6; 518,66 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002001;15/07/2017;424583416;GANCHO P/CAÃ‘O ESTRUCT 35 x  90;7;-7;0; 74,52 ; 521,64 ;-521,64 ; -   ;icl7115;7; 605,10 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002001;22/07/2017;424583416;GANCHO P/CAÃ‘O ESTRUCT 35 x  90;7;-7;0; 74,52 ; 521,64 ;-521,64 ; -   ;icl7115;7; 605,10 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002001;29/07/2017;424583416;GANCHO P/CAÃ‘O ESTRUCT 35 x  90;6;-6;0; 74,52 ; 447,12 ;-447,12 ; -   ;ICL7115;6; 518,66 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002001;05/07/2017;424582155;CADENA ENGANCHE N.13 ESCALERA;1;-1;0; 10,35 ; 10,35 ;-10,35 ; -   ;FRE3919;1; 12,01 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;51303079;05/07/2017;424572809;CORTINA P/BAÃ‘O COMPLETA BEIGE;20;-20;0; 32,23 ; 644,60 ;-644,60 ; -   ;FRE3919;20; 747,74 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;11/07/2017;424560094;MECHA EZETA DE CENTRAR 5.00 MM;196;-36;160; 55,61 ; 10.899,56 ;-2.001,96 ; 8.897,60 ;fre3919;36; 2.322,27 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;12/07/2017;424560094;MECHA EZETA DE CENTRAR 5.00 MM;160;33;193; 55,61 ; 8.897,60 ; 1.835,13 ; 10.732,73 ;INTFZ;-33; 2.128,75 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;05/07/2017;424561234;GANCHO P/CAÃ‘O ESTRUCT 40 x  90;144;-5;139; 152,88 ; 22.014,72 ;-764,40 ; 21.250,32 ;FRE3919;5; 886,70 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;51303079;11/07/2017;424572809;CORTINA P/BAÃ‘O COMPLETA BEIGE;5;-5;0; 32,23 ; 161,15 ;-161,15 ; -   ;fre3919;5; 186,93 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;51303079;15/07/2017;424572809;CORTINA P/BAÃ‘O COMPLETA BEIGE;10;-10;0; 32,23 ; 322,30 ;-322,30 ; -   ;agg3513;10; 373,87 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;51303079;20/07/2017;424572809;CORTINA P/BAÃ‘O COMPLETA BEIGE;15;-15;0; 32,23 ; 483,45 ;-483,45 ; -   ;fre3919;15; 560,80 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;51303079;26/07/2017;424572809;CORTINA P/BAÃ‘O COMPLETA BEIGE;10;-10;0; 32,23 ; 322,30 ;-322,30 ; -   ;agg3513;10; 373,87 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002001;06/07/2017;424583418;GANCHO P/CAÃ‘O ESTRUCT 40 x 100;5;-5;0; 36,74 ; 183,70 ;-183,70 ; -   ;ICL7115;5; 213,09 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002001;22/07/2017;424583418;GANCHO P/CAÃ‘O ESTRUCT 40 x 100;5;-5;0; 36,74 ; 183,70 ;-183,70 ; -   ;icl7115;5; 213,09 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002001;29/07/2017;424583418;GANCHO P/CAÃ‘O ESTRUCT 40 x 100;3;-3;0; 36,74 ; 110,22 ;-110,22 ; -   ;ICL7115;3; 127,86 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;15/07/2017;424564980;MECHA EZETA WIDIA BOSCH  5 x 110 MM;1;-1;0; 1.684,46 ; 1.684,46 ;-1.684,46 ; -   ;agg3513;1; 1.953,97 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002011;05/07/2017;424570633;MENSULA DOBLE NEGRA  370 MM;20;-20;0; 33,37 ; 667,40 ;-667,40 ; -   ;FRE3919;20; 774,18 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002011;11/07/2017;424570633;MENSULA DOBLE NEGRA  370 MM;5;-5;0; 33,37 ; 166,85 ;-166,85 ; -   ;fre3919;5; 193,55 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002011;15/07/2017;424570633;MENSULA DOBLE NEGRA  370 MM;10;-10;0; 33,37 ; 333,70 ;-333,70 ; -   ;agg3513;10; 387,09 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002011;20/07/2017;424570633;MENSULA DOBLE NEGRA  370 MM;15;-15;0; 33,37 ; 500,55 ;-500,55 ; -   ;fre3919;15; 580,64 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002011;26/07/2017;424570633;MENSULA DOBLE NEGRA  370 MM;10;-10;0; 33,37 ; 333,70 ;-333,70 ; -   ;agg3513;10; 387,09 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;05/07/2017;424560004;MECHA EZETA WIDIA BOSCH  6 x 110 MM;450;-5;445; 112,40 ; 50.580,00 ;-562,00 ; 50.018,00 ;FRE3919;5; 651,92 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;08/07/2017;424560004;MECHA EZETA WIDIA BOSCH  6 x 110 MM;414;-5;409; 112,40 ; 46.533,60 ;-562,00 ; 45.971,60 ;agg3513;5; 651,92 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;15/07/2017;424560004;MECHA EZETA WIDIA BOSCH  6 x 110 MM;377;-10;367; 112,40 ; 42.374,80 ;-1.124,00 ; 41.250,80 ;agg3513;10; 1.303,84 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;20/07/2017;424560004;MECHA EZETA WIDIA BOSCH  6 x 110 MM;329;-5;324; 112,40 ; 36.979,60 ;-562,00 ; 36.417,60 ;fre3919;5; 651,92 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;26/07/2017;424560004;MECHA EZETA WIDIA BOSCH  6 x 110 MM;284;-5;279; 112,40 ; 31.921,60 ;-562,00 ; 31.359,60 ;agg3513;5; 651,92 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;05/07/2017;424592810;MECHA EZETA WIDIA LARGA 200 12 MM;2222;-8;2214; 53,82 ; 119.588,04 ;-430,56 ; 119.157,48 ;FRE3919;8; 499,45 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;11/07/2017;424592810;MECHA EZETA WIDIA LARGA 200 12 MM;1876;-5;1871; 53,82 ; 100.966,32 ;-269,10 ; 100.697,22 ;fre3919;5; 312,16 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;15/07/2017;424592810;MECHA EZETA WIDIA LARGA 200 12 MM;1587;-5;1582; 53,82 ; 85.412,34 ;-269,10 ; 85.143,24 ;agg3513;5; 312,16 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;20/07/2017;424592810;MECHA EZETA WIDIA LARGA 200 12 MM;1284;-5;1279; 53,82 ; 69.104,88 ;-269,10 ; 68.835,78 ;fre3919;5; 312,16 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;26/07/2017;424592810;MECHA EZETA WIDIA LARGA 200 12 MM;930;-5;925; 53,82 ; 50.052,60 ;-269,10 ; 49.783,50 ;agg3513;5; 312,16 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;05/07/2017;424560095;MECHA EZETA WIDIA BOSCH  6 x 160 MM;326;-5;321; 95,61 ; 31.168,86 ;-478,05 ; 30.690,81 ;FRE3919;5; 554,54 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;11/07/2017;424560095;MECHA EZETA WIDIA BOSCH  6 x 160 MM;296;-3;293; 95,61 ; 28.300,56 ;-286,83 ; 28.013,73 ;fre3919;3; 332,72 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;15/07/2017;424560095;MECHA EZETA WIDIA BOSCH  6 x 160 MM;272;-1;271; 95,61 ; 26.005,92 ;-95,61 ; 25.910,31 ;agg3513;1; 110,91 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;26/07/2017;424560095;MECHA EZETA WIDIA BOSCH  6 x 160 MM;375;-3;372; 95,61 ; 35.853,75 ;-286,83 ; 35.566,92 ;INTFZ;3; 332,72 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;26/07/2017;424560095;MECHA EZETA WIDIA BOSCH  6 x 160 MM;372;-5;367; 95,61 ; 35.566,92 ;-478,05 ; 35.088,87 ;agg3513;5; 554,54 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;05/07/2017;424560055;MECHA EZETA WIDIA BOSCH  8 x 110 MM;2760;-90;2670; 8,71 ; 24.039,60 ;-783,90 ; 23.255,70 ;FRE3919;90; 909,32 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;08/07/2017;424560055;MECHA EZETA WIDIA BOSCH  8 x 110 MM;2640;-90;2550; 8,71 ; 22.994,40 ;-783,90 ; 22.210,50 ;agg3513;90; 909,32 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;15/07/2017;424560055;MECHA EZETA WIDIA BOSCH  8 x 110 MM;1799;-90;1709; 8,71 ; 15.669,29 ;-783,90 ; 14.885,39 ;agg3513;90; 909,32 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;26/07/2017;424560055;MECHA EZETA WIDIA BOSCH  8 x 110 MM;1379;-60;1319; 8,71 ; 12.011,09 ;-522,60 ; 11.488,49 ;INTFZ;60; 606,22 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;26/07/2017;424560055;MECHA EZETA WIDIA BOSCH  8 x 110 MM;1319;-120;1199; 8,71 ; 11.488,49 ;-1.045,20 ; 10.443,29 ;agg3513;120; 1.212,43 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;05/07/2017;424574018;BIS T/MUNICION C/AGUJ CINC 100x75;387;-2;385; 48,04 ; 18.591,48 ;-96,08 ; 18.495,40 ;FRE3919;2; 111,45 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;15/07/2017;424574018;BIS T/MUNICION C/AGUJ CINC 100x75;217;-3;214; 48,04 ; 10.424,68 ;-144,12 ; 10.280,56 ;agg3513;3; 167,18 ;julio;2017
Hermanos Ruiz;10219;Ferreteria del Norte;50002005;26/07/2017;424574018;BIS T/MUNICION C/AGUJ CINC 100x75;107;-3;104; 48,04 ; 5.140,28 ;-144,12 ; 4.996,16 ;agg3513;3; 167,18 ;julio;2017
